time,OCV
832.0,3.56314
833.0,3.5625549999999997
834.0,3.56213
835.0,3.56154
836.0,3.5610350000000004
837.0,3.56053
838.0,3.56002
839.0,3.55952
840.0,3.5589250000000003
841.0,3.55851
842.0,3.558
843.0,3.5574900000000005
844.0,3.55699
845.0,3.5563949999999998
846.0,3.5558949999999996
847.0,3.55547
848.0,3.5549649999999997
849.0,3.5544599999999997
850.0,3.5539549999999998
851.0,3.553365
852.0,3.55286
853.0,3.552355
854.0,3.551845
855.0,3.55134
856.0,3.55075
857.0,3.5502449999999994
858.0,3.54974
859.0,3.54915
860.0,3.548645
861.0,3.5482250000000004
862.0,3.54763
863.0,3.547045
864.0,3.5465350000000004
865.0,3.54595
866.0,3.5454399999999997
867.0,3.544855
868.0,3.544345
869.0,3.543755
870.0,3.54325
871.0,3.5426599999999997
872.0,3.54207
873.0,3.54148
874.0,3.54089
875.0,3.5403000000000002
876.0,3.5397100000000004
877.0,3.5391200000000005
878.0,3.5384450000000003
879.0,3.537775
880.0,3.5370999999999997
881.0,3.536425
882.0,3.53575
883.0,3.53499
884.0,3.534235
885.0,3.5334700000000003
886.0,3.53263
887.0,3.5318750000000003
888.0,3.5310300000000003
889.0,3.53027
890.0,3.5293449999999997
891.0,3.5285
892.0,3.527575
893.0,3.5267299999999997
894.0,3.52572
895.0,3.52488
896.0,3.523865
897.0,3.5229399999999997
898.0,3.52184
899.0,3.5209149999999996
900.0,3.5198199999999997
901.0,3.51881
902.0,3.517625
903.0,3.51645
904.0,3.5151850000000002
905.0,3.513925
906.0,3.51257
907.0,3.511225
908.0,3.50971
909.0,3.5082750000000003
910.0,3.506675
911.0,3.505155
912.0,3.5037199999999995
913.0,3.5022900000000003
914.0,3.5009449999999998
915.0,3.49976
916.0,3.4984949999999997
917.0,3.4974049999999997
918.0,3.496305
919.0,3.49521
920.0,3.4941150000000003
921.0,3.49302
922.0,3.49184
923.0,3.49066
924.0,3.489565
925.0,3.488385
926.0,3.48712
927.0,3.485855
928.0,3.48459
929.0,3.483245
930.0,3.48198
931.0,3.480715
932.0,3.47928
933.0,3.4779349999999996
934.0,3.476585
935.0,3.47515
936.0,3.4738049999999996
937.0,3.472455
938.0,3.471025
939.0,3.46959
940.0,3.4682399999999998
941.0,3.46681
942.0,3.4652899999999995
943.0,3.463945
944.0,3.46243
945.0,3.461075
946.0,3.4595599999999997
947.0,3.4581299999999997
948.0,3.456695
949.0,3.45526
950.0,3.45383
951.0,3.4523099999999998
952.0,3.4507949999999994
953.0,3.44936
954.0,3.447845
955.0,3.4463299999999997
956.0,3.444725
957.0,3.4432949999999996
958.0,3.441775
959.0,3.440175
960.0,3.4386599999999996
961.0,3.437145
962.0,3.43546
963.0,3.4339399999999998
964.0,3.4322549999999996
965.0,3.43065
966.0,3.42905
967.0,3.42737
968.0,3.4256800000000007
969.0,3.42408
970.0,3.4223100000000004
971.0,3.420625
972.0,3.4188549999999998
973.0,3.417085
974.0,3.415395
975.0,3.41354
976.0,3.411775
977.0,3.410005
978.0,3.4082350000000003
979.0,3.4063800000000004
980.0,3.40461
981.0,3.402755
982.0,3.4008149999999997
983.0,3.399045
984.0,3.3971949999999995
985.0,3.39534
986.0,3.3934
987.0,3.391465
988.0,3.389525
989.0,3.38767
990.0,3.385815
991.0,3.3838749999999997
992.0,3.38194
993.0,3.38
994.0,3.37815
995.0,3.3762049999999997
996.0,3.374185
997.0,3.37233
998.0,3.3703950000000003
999.0,3.36854
1000.0,3.36668
1001.0,3.3646599999999998
1002.0,3.3628099999999996
1003.0,3.3609549999999997
1004.0,3.359095
1005.0,3.3571600000000004
1006.0,3.355305
1007.0,3.35345
1008.0,3.351595
1009.0,3.349745
1010.0,3.347885
1011.0,3.346035
1012.0,3.344265
1013.0,3.3424099999999997
1014.0,3.34064
1015.0,3.33879
1016.0,3.337015
1017.0,3.335165
1018.0,3.33339
1019.0,3.331625
1020.0,3.3298550000000002
1021.0,3.3280000000000003
1022.0,3.32623
1023.0,3.32446
1024.0,3.32269
1025.0,3.3209150000000003
1026.0,3.31915
1027.0,3.317375
1028.0,3.31561
1029.0,3.31384
1030.0,3.31207
1031.0,3.3103
1032.0,3.30853
1033.0,3.3067600000000006
1034.0,3.30499
1035.0,3.303225
1036.0,3.3013649999999997
1037.0,3.2996849999999998
1038.0,3.297825
1039.0,3.29589
1040.0,3.2941149999999997
1041.0,3.29235
1042.0,3.2904100000000005
1043.0,3.2885600000000004
1044.0,3.2866150000000003
1045.0,3.28468
1046.0,3.2827399999999995
1047.0,3.280805
1048.0,3.278695
1049.0,3.276675
1050.0,3.274565
1051.0,3.272545
1052.0,3.270435
1053.0,3.2682450000000003
1054.0,3.2659700000000003
1055.0,3.263865
1056.0,3.261585
1057.0,3.259315
1058.0,3.257035
1059.0,3.254595
1060.0,3.25206
1061.0,3.2497049999999996
1062.0,3.2471750000000004
1063.0,3.244645
1064.0,3.242115
1065.0,3.2393350000000005
1066.0,3.23672
1067.0,3.2340299999999997
1068.0,3.231245
1069.0,3.228295
1070.0,3.22535
1071.0,3.222395
1072.0,3.21945
1073.0,3.2164099999999998
1074.0,3.21321
1075.0,3.2100049999999998
1076.0,3.2066350000000003
1077.0,3.20335
1078.0,3.1998949999999997
1079.0,3.19627
1080.0,3.1926449999999997
1081.0,3.1888499999999995
1082.0,3.1849750000000006
1083.0,3.18093
1084.0,3.1768
1085.0,3.172415
1086.0,3.1679500000000003
1087.0,3.16323
1088.0,3.1583449999999997
1089.0,3.153285
1090.0,3.14789
1091.0,3.1424149999999997
1092.0,3.1366
1093.0,3.130535
1094.0,3.124295
1095.0,3.11772
1096.0,3.1136749999999997
